STT,Tên bài hát,Chủ đề,Chủ đề con,Tone,Nhịp,Lời,Nhạc,Tuyển tập,Audio tham khảo,Lyric,Thánh Ca - Hosanna Việt Nam 1-105
1,A-ba Chúa trên cao,1,b,Am,4/4,,,Hosanna Việt Nam,Aba Chúa trên cao - YouTube,,
2,Tôn vinh Chiên Con,1,b,G,4/4,,,Hosanna Việt Nam,Ehre dem Lamm - YouTube,,
3,Cùng vui nhóm,3,a,F,4/4,,,Hosanna Việt Nam,"Wir versammeln uns vor dir, o großer Gott",,
4,Xin Cha hãy chiếu ánh sáng,1,a,A,4/4,,,Hosanna Việt Nam,Shine Jesus Shine (feat. Jens) | Acoustica - Mandolin - YouTube,,
5,Ngài là Vua,1,b,G,2/4,,,Hosanna Việt Nam,"He Is Lord, He Is Lord! He Is Risen From The Dead Song Lyrics Video - Divine Hymns - YouTube",,
6,Điều cao quý nhất,1,d,D,4/4,,,Hosanna Việt Nam,"Das Höchste meines Lebens ist dich kennen Herr, Anbetung - YouTube",,
7,Kìa thật phước hạnh,3,a,Dm,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
8,Xin dâng,1,b,F,4/4,,,Hosanna Việt Nam,"""Hab Dank von Herzen Herr"" SPONTAN-theater - YouTube",,
9,Bình an Vua,1,b,A,4/4,,,Hosanna Việt Nam,"Friedefürst, Wunderrat, Text/Lyrics - YouTube",,
10,Tôn vinh Chúa trong mỗi lúc,1,b,Dm,4/4,,,Hosanna Việt Nam,Ich will loben denn Herrn allezeit (Kanon) | Viyuda leolam teshev,,
11,Vì Thần Linh và Hội Thánh,3,a,Gm,4/4,,,Hosanna Việt Nam,Denn der Geist und die Braut - YouTube,,
12,Hosanna,1,b,G,4/4,,,Hosanna Việt Nam,Hosanna In The Highest | Performed By Vineyard | 4k Video | HQ - YouTube,,Hosanna (In The Highest) /We Cry Hosanna (Medley) - YouTube
13,Ngài thật là Vua đời đời,1,b,Am,4/4,,,Hosanna Việt Nam,Ngài Thật Là Vua Đời Đời - YouTube,,
14,"Phước hạnh, phước hạnh",1,d,Dm,4/4,,,Hosanna Việt Nam,"Fröhlich, fröhlich ist das Volk - YouTube",,
15,"Ha-lê-lu-gia, Ha-lê-lu-gia",3,a,Em,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
16,Nào cùng cất tiếng hoan ca,1,b,E,4/4,,,Hosanna Việt Nam,Come Let Us Sing - YouTube,,https://quangharvest.com/hosanna-vn-1-100
17,Hát như Đa-vít,2,,Em,4/4,,,Hosanna Việt Nam,When the Spirit of the Lord comes upon my heart - I will dance like David danced - Praise & Worship - YouTube,,
18,Thi Thiên 150,1,b,D,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
19,Vua đời đời,1,b,G,4/4,,,Hosanna Việt Nam,Majestät herrliche Majestät lyrics - YouTube,,"Majestät, herrliche Majestät - YouTube"
20,Trọn tất cả sự đầy dẫy đến từ Chúa,1,b,D,4/4,,,Hosanna Việt Nam,All die Fülle - YouTube,,
21,Cám ơn Cha,2,,D,4/4,,,Hosanna Việt Nam,"""All die Fülle ist in dir O' Herr"" Lied bei den GlaubenstagenLIED - YouTube",,from 00:35
22,Thuộc duy Chúa sự vinh diệu,1,b,C,4/4,,,Hosanna Việt Nam,Dir gebührt die Ehre - YouTube,,Dir gebührt die Ehre - YouTube
23,Thi Thiên 104:31-33,1,b,F,4/4,,,Hosanna Việt Nam,Die Herrlichkeit des Herrn bleibe ewiglich [Christliche Lieder] - YouTube,,"Die Herrlichkeit des Herrn I Gitta Leuschner, Keith Chrysler - YouTube"
24,Hãy tôn vinh Danh Thánh Ngài,1,b,A,4/4,,,Hosanna Việt Nam,Marty Nystrom- The Celebration Song (Praise Medley) (Hosanna! Music) - YouTube,,The Celebration Song - YouTube
25,Ma-thi-ơ 18:20,3,a,F,4/4,,,Hosanna Việt Nam,Lied: Wo zwei oder drei in meinem Namen versammelt sind (Kanon EG 568) - YouTube,,
26,"Hỡi dân Chúa, dâng lời ca!",3,a,Am,4/4,,,Hosanna Việt Nam,Sing For Joy In The Lord - YouTube,,
27,Ngợi Vua trên muôn vua,1,b,Fm,4/4,,,Hosanna Việt Nam,"King Of Kings And Lord Of Lords, Glory Hallelujah Song Lyrics Video - Divine Hymns - YouTube",,King of Kings and Lord of Lords with subtitles
28,Êm-ma-nu-ên,1,a,C,4/4,,,Hosanna Việt Nam,His Name Is Called Emmanuel Song Lyrics | Christian Hymnal | Divine Hymns - YouTube,,Emmanuel - YouTube
29,Nguyện cầu Cha,1,a,F,4/4,,,Hosanna Việt Nam,"Herr, wir bitten: Komm und segne uns - YouTube",,Herr wir bitten komm und segne uns - Bandbegleitung - YouTube
30,Con tôn cao Cha,1,b,E,4/4,,,Hosanna Việt Nam,Du bist der Höchste - YouTube,,Outbreakband - Wir erheben dich - YouTube
31,Hãy ca tụng Chúa chúng ta,1,b,G,4/4,,,Hosanna Việt Nam,https://www.youtube.com/watch?v=cMABar5i7Ao,,
32,Jesus ơi! Con chính là tội nhân,1,c,F,3/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
33,Cùng nhau ta vui hoan ca,1,b,D,4/4,,,Hosanna Việt Nam,"Ich will singen von der Gnade meines Herrn für immer - Cover - Nach Ps.89,2 - YouTube",,
34,Hãy vỗ tay vui,1,b,Em,4/4,,,Hosanna Việt Nam,Hãy Vỗ Tay Vui Reo Mừng Lên Lyrics - YouTube,,
35,Cùng nhau ca khen ngợi Chúa,2,,E,4/4,,,Hosanna Việt Nam,Gepriesen sei der Herr - YouTube,,Gepriesen sei der Herr - YouTube Gepriesen sei der Herr / Nordhorn am 20.11.2022 - YouTube
36,Hướng về Jesus,2,,F,4/4,,,Hosanna Việt Nam,"Jesus, wir sehen auf dich - YouTube",,
37,Hallelujah! Amen,1,b,G,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
38,Này ngày hôm nay,2,,F,4/4,,,Hosanna Việt Nam,Medley: Dies ist der Tag dem der Herr gemacht,,https://quangharvest.com/hosanna-vn-1-100
39,"Jesus, Jesus!",2,,C,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
40,Ê-sai 52:7,3,a,Bb,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,OUR GOD REIGNS
41,Cha ban thánh ca mới,2,,Dm,4/4,,,Hosanna Việt Nam,Jesus Put This Song Into Our Hearts - Graham Kendrick - YouTube,,Jesus Put This Song Into Our Hearts - Divine Hymns - Lyrics Video - YouTube Jesus Put This Song Into Our Hearts (4vv) [with lyrics for congregations] - YouTube
42,Càng thêm hơn từ Ngài,1,a,G,4/4,,,Hosanna Việt Nam,Immer mehr LIVE - Alive Worship - YouTube,,Show Us More of You (23) - YouTube
43,Còn nếu dân gọi bằng Danh Ta,1,c,C#m,4/4,,,Hosanna Việt Nam,If my people who bear my name de Graham Kendrick - YouTube,,
44,Chính Chúa được tôn cao,1,b,F,3/4,,,Hosanna Việt Nam,Du bist erhoben m. Lyrics,,"Du bist erhoben für immer gehört dir der Thron, Anbetung - YouTube "
45,Chính Chúa tại đây,1,b,E,4/4,,,Hosanna Việt Nam,Bob Fitts- The Lord Is Come (Medley) (Hosanna! Music) - YouTube,,
46,Chúa Thánh đi ra trong năng quyền,2,,Bm,4/4,,,Hosanna Việt Nam,Der Herr Zieht Aus In Macht Und Stärke - YouTube,,
47,Chúng con đến cùng Cha,2,,A,4/4,,,Hosanna Việt Nam,"Wir kommen zu dir, wir kommen zu dir - YouTube",,
48,Trong Danh Cứu Chúa quyền năng,2,,F,4/4,,,Hosanna Việt Nam,"Jesus, in deinem namen ist die kraft Lyrics - YouTube",,Jesus In deinem Namen Ist die Kraft - YouTube
49,"Múa, hát, vỗ tay",1,b,D,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,"Sing, Tanz, Klatsch In Deine Hände - YouTube"
50,Trong Cha là sự sống tôi,1,b,G,4/4,,,Hosanna Việt Nam,"My Life Is In You, Lord - YouTube",,
51,Hãy tôn vinh Ngài,2,,D,4/4,,,Hosanna Việt Nam,"Lobe den Herrn, meine Seele - YouTube",,
52,Từ muôn phương,3,a,A,2/4,,,Hosanna Việt Nam,Từ muôn phương ta cùng nhau sánh vai lên đường - YouTube,,
53,Nhà Cha thiêng liêng,2,,D,4/4,,,Hosanna Việt Nam,Ich will einziehn in sein Tor (Original: Leona von Brethorst - I will enter his gates) - YouTube,,
54,Con xin dâng lên,2,,D,4/4,,,Hosanna Việt Nam,Dâng Chúa Lời Suy Tôn - Tôn Vinh Chúa Hằng Hữu - Số 023 - Karaoke Tin Lành - YouTube,,#24 TVCHH // DÂNG CHÚA LỜI SUY TÔN - YouTube
55,Nước dâng rồi,1,a,Em,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
56,Con xin khiêm nhu,1,b,Em,3/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
57,Hallelujah! Tôn Chúa cao cả,1,b,Em,3/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
58,Todaraba,2,,Em,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
59,Hãy đến trước Chúa,3,a,Dm,6/8,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
60,Con muốn tôn Danh Chúa Cha,1,b,G,4/4,,,Hosanna Việt Nam,HERR ich will dich preisen - YouTube,,
61,Khắp trên trời truyền rao,1,b,G,4/4,,,Hosanna Việt Nam,Der Himmel zeugt - YouTube,,All Heav'n Declares [Live] - YouTube
62,Hãy dọn đường cho Cứu Chúa,1,a,G,4/4,,,Hosanna Việt Nam,Bahnt einen Weg unserm Gott - YouTube,,Bahnt einen Weg unserm Gott - YouTube
63,Quyền uy thay là Đức Chúa Trời chúng ta,1,b,F#m,4/4,,,Hosanna Việt Nam,Unser Gott ist ein mächtiger Gott (Lyrics/Text) - YouTube,,
64,Ngợi khen Cha suốt đời,1,b,C,4/4,,,Hosanna Việt Nam,I Will Magnify - YouTube,,
65,Vào trong giây phút này,1,b,D,3/4,,,Hosanna Việt Nam,In Moments Like These (Split Track) - YouTube,,
66,Tôn ngợi Danh Chúa Jesus,1,b,F,4/4,,,Hosanna Việt Nam,EG 272 Ich lobe meinen Gott - YouTube,,
67,Khát khao dòng nước,1,a,D,4/4,,,Hosanna Việt Nam,As The Deer - YouTube,,
68,An vui như con sông,1,a,C,4/4,,,Hosanna Việt Nam,Friede wie ein Strom - YouTube,,Friede wie ein Strom / Outbreakband (First Love Sessions) - YouTube
69,"Jesus, chúng con mến yêu",1,b,C,4/4,,,Hosanna Việt Nam,"Vater, ich lieb dich / Du großer Gott - YouTube",,"Vater, ich lieb dich - YouTube"
70,Cầu xin Cha đổi lòng,1,c,C,4/4,,,Hosanna Việt Nam,https://www.youtube.com/watch?v=aymNG4CBFTk,,Change My Heart oh God - Vineyard [With Lyrics] - YouTube
71,"Jesus, tôn Cha muôn đời",1,a,G,4/4,,,Hosanna Việt Nam,[Christian Song with lyrics] Jesus We Enthrone You(Dales and Wales Bible Weeks) 예수 우리 왕이여 - YouTube,,"예수 우리 왕이여 Lord, Jesus we enthrone You | 제이어스 J-US | Live Worship [BREAKTHROUGH] - YouTube"
72,"Jesus, Jesus, thánh khiết thay",2,,E,4/4,,,Hosanna Việt Nam,"Jesus, Jesus, heilig und gesalbt - YouTube",,"Jesus, Jesus, heilig und gesalbt - YouTube"
73,Vinh diệu cao quí,1,b,E,4/4,,,Hosanna Việt Nam,Würdig und herrlich ist das Lamm - YouTube,,"Würdig und Herrlich ist das Lamm, Lobreis - YouTube"
74,Sự bình an trong Danh Jesus,2,,G,4/4,,,Hosanna Việt Nam,Highlands Church | Sự Bình An Trong Danh Giê-xu - YouTube,,
75,"Jesus, ồ tuyệt vời thay Chúa tôi",2,,F,6/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
76,Đời sống từ chốn nước nguồn,1,a,Em,4/4,,,Hosanna Việt Nam,076 Doi song tu chon nuoc nguon - YouTube,,
77,Nào ai đâu như Chúa,1,c,Bm,4/4,,,Hosanna Việt Nam,Wo ist solch ein Gott so wie du - YouTube,,Wo ist solch ein Gott - YouTube
78,Cầu xin Cha hãy mở mắt con,1,a,Dm,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
79,Ngài chính là chốn nương thân,2,,Am,4/4,,,Hosanna Việt Nam,You Are My Hiding Place - Selah (Worship Song with Lyrics) - YouTube,,
80,Chẳng bởi thế quyền,1,b,Dm,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
81,Hãy mau mở Kinh Thánh,3,a,Dm,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
82,Đức Chúa Trời nhân từ,1,b,Am,4/4,,,Hosanna Việt Nam,https://www.youtube.com/watch?v=xNemVm3q-NI,,
83,Jesus ban ánh sáng và tình yêu,2,,Dm7,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
84,Vua hằng còn muôn đời,1,b,A,4/4,,,Hosanna Việt Nam,"Majesty, King of Eternity (Live) - YouTube",,
85,Jesus - Danh trên muôn danh,1,d,D,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
86,Jesus! Ngài là ánh sáng tuyệt vời,1,b,D,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
