STT,Tên bài hát,Chủ đề,Chủ đề con,Tone,Nhịp,Lời,Nhạc,Tuyển tập,Audio tham khảo,Lyric,Thánh Ca - Hosanna Việt Nam 1-105
87,Vua trên muôn vua,1,d,Dm,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
88,Cầu bình an cho Jerusalem,1,d,Dm,4/4,,,Hosanna Việt Nam,,,
89,"Thánh thay, thánh thay, thánh thay",1,a,C,4/4,,,Hosanna Việt Nam,,,
90,Jesus là tất cả cho con,2,,D,4/4,,,Hosanna Việt Nam,"Jesus, You're Everything to Me (Live) - YouTube",,
91,"Thêm yêu thương, thêm năng lực",1,d,Em,4/4,,,Hosanna Việt Nam,,,
92,"Hallelujah, Hallelujah, ngợi khen Chúa",1,b,Am,4/4,,,Hosanna Việt Nam,https://quangharvest.com/hosanna-vn-1-100,,
93,Lạy Cha Thánh con xin dâng Cha,1,b,G,4/4,,,Hosanna Việt Nam,Maranatha! Singers - Lord I Lift Your Name On High (Original Version) - YouTube,,
94,Chúa mở cho lối đi,2,,F,4/4,,,Hosanna Việt Nam,,,
95,Chúa đời con,2,,F,4/4,,,Hosanna Việt Nam,Chris Bowater- Reign In Me - YouTube,,
96,Xin Cha hiệp một,3,a,G,4/4,,,Hosanna Việt Nam,,,
97,Ngài đã thắng,1,b,C,4/4,,,Hosanna Việt Nam,,,
98,Giờ này quỳ bên chân Chúa,1,b,F,4/4,,,Hosanna Việt Nam,Ich steh in Deiner Gegenwart - YouTube,,
99,Nào ai như Chúa,2,,Dm,4/4,,,Hosanna Việt Nam,Denn wer ist Gott | Psalm 18 | Lyric Video | #MartinPepperOfficial - YouTubeY,,
100,"Jesus, mời Ngài đến nơi đây",1,a,F,4/4,,,Hosanna Việt Nam,,,
101,"Hỡi Chúa, mời Ngài đến nơi đây",1,a,F,4/4,,,Hosanna Việt Nam,,,
102,Xin ý Chúa được nên,1,d,D,4/4,,,Hosanna Việt Nam,https://www.youtube.com/watch?v=YLAiLA7dqAE,,
103,Vòng tay yêu thương,2,,G,4/4,,,Hosanna Việt Nam,ARMS OF LOVE [Official Lyric Video] | Vineyard Worship feat. Kate Cooke - YouTube,,
104,"Jesus, Danh trên mọi danh",1,b,A,4/4,,,Hosanna Việt Nam,Jesus name uber alle Namen - YouTube,,
105,Xin Thánh Linh đến,1,a,F,3/4,,,Hosanna Việt Nam,,,
106,Mau đến ca ngợi Danh Jesus,1,b,E,4/4,,,Hosanna Việt Nam,,,
107,Từ sâu thẳm này,1,a,Bm,4/4,,,Hosanna Việt Nam,,,
108,Nhã ca 1:4,1,d,Dm,4/4,,,Hosanna Việt Nam,,,
109,Lòng mừng vui!,2,,Em,4/4,,,Hosanna Việt Nam,,,
110,"Hallelujah, Jesus!",1,b,C,4/4,,,Hosanna Việt Nam,,,
111,Thánh thay! Chúa ba ngôi,1,b,D,4/4,,,Hosanna Việt Nam,https://www.youtube.com/watch?v=4cA_n--Gc_o,,
112,Thánh thay,1,b,D,4/4,,,Hosanna Việt Nam,,,
113,Chúa Jesus phục sinh,4,b,D,4/4,,,Hosanna Việt Nam,"feiert Jesus kommt feiert ihn, Lobpreis - YouTube",,"celebrate jesus, jesus is alive, (Feiert Jesus kommt feiert Ihn, Halleluja Jesus Christus lebt) - YouTube"
114,Cùng dâng câu chúc tán,2,,G,4/4,,,Hosanna Việt Nam,,,
115,Không ai ngoài Jesus,2,,G,4/4,,,Hosanna Việt Nam,,,
116,Cùng nhau ta đi lên đền Thánh cám ơn Cha,2,,Am,3/4,,,Hosanna Việt Nam,088 Kommt in sein Tor - YouTube,,https://www.youtube.com/watch?v=7imojF9_3wY
117,Thi Thiên 99:5,3,a,D,4/4,,,Hosanna Việt Nam,,,
118,Ngợi tôn cao Danh Jesus,1,d,D,4/4,,,Hosanna Việt Nam,,,
119,Dòng nước sống,1,a,G,12/8,,,Hosanna Việt Nam,Oh Herr gieße Ströme [LIVE] - Albert Frey - YouTube,,
120,Thi Thiên 103,1,b,F,6/8,,,Hosanna Việt Nam,"Lobe den Herrn, meine Seele - YouTube",,
121,Kính mến Giê-hô-va,2,,D,4/4,,,Hosanna Việt Nam,,,
122,Giê-xu! Chúc tôn Giê-xu,2,,A,4/4,,,Hosanna Việt Nam,,,
123,Dòng huyết Chúa,1,c,G,4/4,,,Hosanna Việt Nam,,,
124,Tôn vinh danh Giê-xu,1,b,F,4/4,,,Hosanna Việt Nam,,,
125,Lu-ca 4:18-19,3,a,Dm,4/4,,,Hosanna Việt Nam,,,
126,Đứng lên dân Chúa,3,a,E,4/4,,,Hosanna Việt Nam,,,
127,Chúa đi trước chúng ta,3,a,Bm,4/4,,,Hosanna Việt Nam,Denn der Herr zieht mit uns voran | Wo ist solch ein Gott so wie du | FECG Aldingen - YouTube,,
128,Chúa chạm đến tôi,2,,Eb,3/4,,,Hosanna Việt Nam,https://www.youtube.com/watch?v=5m--ptwd_iI&list=PL9DiaWLN0leVpJ0ttWu70UdvshO4_83Li&index=12,,
129,Chúa phán đã xong rồi,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
129a,Giê-xu là Cứu Chúa,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
130,Đất nước hoang vu,2,,Am,4/4,,,Hosanna Việt Nam,Wüst ist das Land - YouTube,,
131,Giê-xu là Đấng sống,4,b,Eb,4/4,,,Hosanna Việt Nam,,,
132,Giê-xu đắc thắng,2,,E,4/4,,,Hosanna Việt Nam,,,
133,Đấng toàn năng tể trị,1,b,E,4/4,,,Hosanna Việt Nam,,,
134,Ngài đã thắng cõi sự chết,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
135,Lòng này trông thấy,1,b,G,4/4,,,Hosanna Việt Nam,,,
136,Chúa đến trong quyền năng,1,a,G,4/4,,,Hosanna Việt Nam,,,
137,Không thần nào khác,1,a,C,4/4,,,Hosanna Việt Nam,,,
138,Chúng con tự do,4,b,Am,4/4,,,Hosanna Việt Nam,,,
139,Ê-sai 6:8,3,a,D,4/4,,,Hosanna Việt Nam,,,
140,Êm-ma-nu-ên! Hỡi Êm-ma-nu-ên,2,,A,4/4,,,Hosanna Việt Nam,,,
141,Thi-thiên 57:8-9,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
142,Nê-hê-mi 8:10,2,,E,4/4,,,Hosanna Việt Nam,,,
143,Giê-xu ban cho bài ca,2,,D,4/4,,,Hosanna Việt Nam,,,
144,Chúa Nhân lành,2,,Em,4/4,,,Hosanna Việt Nam,,,
145,Lòng nguyện tôn cao,1,b,Bb,4/4,,,Hosanna Việt Nam,,,
146,Thêm vinh hiển Ngài,1,d,Bb,4/4,,,Hosanna Việt Nam,,,
147,Giê-xu con khát khao Ngài,1,a,D,4/4,,,Hosanna Việt Nam,,,
148,Con dâng trong tay Ngài,2,,A,4/4,,,Hosanna Việt Nam,,,
149,Xin hiệp nhất chúng con,3,a,Bb,6/8,,,Hosanna Việt Nam,,,
150,Không danh nào khác,1,b,D,4/4,,,Hosanna Việt Nam,,,
151,Giê-xu đang ở nơi đây,1,d,G,4/4,,,Hosanna Việt Nam,,,
152,Chúa vĩ đại,1,b,C,6/8,,,Hosanna Việt Nam,,,
153,Nước sống Cứu thế đến,2,,G,4/4,,,Hosanna Việt Nam,,,
154,Chúc tán Danh Vua Giê-xu,2,,E,4/4,,,Hosanna Việt Nam,,,
155,Chỉ có Cha,2,,G,4/4,,,Hosanna Việt Nam,,,
156,Con quỳ lạy trước ngôi,1,b,G,4/4,,,Hosanna Việt Nam,,,
157,Lòng kính tôn cao,1,b,G,4/4,,,Hosanna Việt Nam,,,
158,Sự thành tín Chúa rất lớn,2,,C,3/4,,,Hosanna Việt Nam,,,
159,Hát Halelugia,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
160,Nào ai như Giê-xu,1,b,Am,4/4,,,Hosanna Việt Nam,,,
161,Mời Thánh Linh ngự trị,1,a,Bb,3/4,,,Hosanna Việt Nam,,,
162,Đứng lên chiến sĩ Giê-hô-va,3,a,Dm,4/4,,,Hosanna Việt Nam,,,
163,Cất tiếng reo mừng Chúa,2,,A,4/4,,,Hosanna Việt Nam,,,
164,Trông xem về vinh quang Thánh,1,b,C,4/4,,,Hosanna Việt Nam,,,
165,Vinh hiển thuộc Chiên Con,1,b,D,4/4,,,Hosanna Việt Nam,,,
166,Ta đây cùng con,1,d,Am,4/4,,,Hosanna Việt Nam,,,
167,Chiên Con được tôn làm Vua,1,b,E,4/4,,,Hosanna Việt Nam,,,
168,Mùa gặt,1,d,Em,4/4,,,Hosanna Việt Nam,,,
169,Trận chiến thuộc về Chúa,3,a,Em,4/4,,,Hosanna Việt Nam,,,
170,Hãy đến với Chúa,3,a,D,4/4,,,Hosanna Việt Nam,,,
171,Halelugia,1,b,A,4/4,,,Hosanna Việt Nam,,,
172,Bài ca Đắc thắng,1,b,Bm,4/4,,,Hosanna Việt Nam,,,
173,Lời con ca tụng,2,,Bb,4/4,,,Hosanna Việt Nam,,,
174,Hỡi người được mua chuộc,2,,A,4/4,,,Hosanna Việt Nam,,,
175,Chúa gác sang bên,1,c,G,4/4,,,Hosanna Việt Nam,,,
176,Dựng nên trong con,1,c,G,4/4,,,Hosanna Việt Nam,,,
177,Giê-xu bây giờ con lại cùng Ngài,1,a,Am,4/4,,,Hosanna Việt Nam,,,
178,Giê-hô-va Di-rê,1,d,Dm,4/4,,,Hosanna Việt Nam,,,
179,Trong danh Cứu Chúa Giê-xu,2,,F,4/4,,,Hosanna Việt Nam,,,
180,Chúa thật tốt thay,2,,D,4/4,,,Hosanna Việt Nam,,,
181,Ô! Huyết Giê-xu,1,c,D,12/8,,,Hosanna Việt Nam,,,
182,Nhờ huyết báu Ngài,1,c,A,4/4,,,Hosanna Việt Nam,,,
183,Tôn vinh Vua Giê-xu,1,b,D,4/4,,,Hosanna Việt Nam,,,
184,Tình yêu bền vững của Chúa,1,d,D,4/4,,,Hosanna Việt Nam,,,
185,Xứng đáng thay Ngài,1,b,D,4/4,,,Hosanna Việt Nam,,,
186,Tôi sẽ đến quỳ trước Ngài,2,,C,3/4,,,Hosanna Việt Nam,,,
187,Ngài khiến tôi an nghỉ,2,,Cm,4/4,,,Hosanna Việt Nam,,,
188,Danh Chúa được ngợi khen,1,b,D,4/4,,,Hosanna Việt Nam,,,
189,Chúa Giê-hô-va,1,b,C,4/4,,,Hosanna Việt Nam,,,
190,Xin Thần Linh đến trong con,1,a,Ab,3/4,,,Hosanna Việt Nam,,,
191,Chúa xứng đáng thay,1,b,G,3/4,,,Hosanna Việt Nam,,,
192,Nguyện tôn vinh Chúa,2,,Dm,4/4,,,Hosanna Việt Nam,,,
193,Thờ phượng Ba Ngôi,1,b,F,4/4,,,Hosanna Việt Nam,,,
194,Ngợi danh Giê-hô-va,1,b,Cm,4/4,,,Hosanna Việt Nam,,,
195,Thi thiên 133,3,a,Gm,4/4,,,Hosanna Việt Nam,,,
196,Hãy phó thác cho Đức Giê-hô-va,1,d,Em,4/4,,,Hosanna Việt Nam,,,
197,Ngài là Giê-hô-va,1,b,Em,4/4,,,Hosanna Việt Nam,,,
198,Lạy Cha chúng con,1,c,Em,6/8,,,Hosanna Việt Nam,,,
199,Hát cho Ngài,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
200,Ngài là Vua các vua,1,b,G,4/4,,,Hosanna Việt Nam,,,
201,Hãy hát ngợi khen,1,b,Bm,4/4,,,Hosanna Việt Nam,,,
202,Ca tụng Danh Chúa,1,b,A,4/4,,,Hosanna Việt Nam,,,
203,Ngài luôn mở lối,2,,F,4/4,,,Hosanna Việt Nam,,,
204,Đấng thành tín,2,,D,4/4,,,Hosanna Việt Nam,,,
205,Lòng con hằng khao khát,2,,G,4/4,,,Hosanna Việt Nam,,,
206,Dìu con đến gần Ngài,1,c,A,4/4,,,Hosanna Việt Nam,,,
207,Chúa ơi! Con tìm kiếm Ngài,1,d,C,4/4,,,Hosanna Việt Nam,,,
208,Chốn vững an trong đời,1,a,Cm,4/4,,,Hosanna Việt Nam,,,
209,Hà hơi trên con,1,a,Eb,4/4,,,Hosanna Việt Nam,,,
210,Tất cả vinh dự,1,a,Dm,4/4,,,Hosanna Việt Nam,,,
211,Con thờ phượng Cha,1,b,G,4/4,,,Hosanna Việt Nam,,,
212,Chúa Đấng chữa lành,1,b,C,4/4,,,Hosanna Việt Nam,,,
213,Việt Nam truyền giáo,3,a,G,3/4,,,Hosanna Việt Nam,,,
214,"Hallelujah, Tôn vinh Danh Chúa Israel",1,b,Dm,4/4,,,Hosanna Việt Nam,,,
215,Khải huyền 4:8,1,b,Am,4/4,,,Hosanna Việt Nam,,,
216,Thi thiên 135,1,b,Gm,4/4,,,Hosanna Việt Nam,,,
217,Ma-la-chi 4:2,2,,Em,4/4,,,Hosanna Việt Nam,,,
218,Bài ca dâng hiến,1,d,Am,2/4,,,Hosanna Việt Nam,,,
219,Đến trong nhà Ngài,3,a,D,4/4,,,Hosanna Việt Nam,,,
220,Đến thờ phượng Chúa,3,a,D,4/4,,,Hosanna Việt Nam,,,
221,Con chỉ mong tôn cao Danh Ngài,1,d,D,4/4,,,Hosanna Việt Nam,,,
222,Đến với Ngài,2,,D,4/4,,,Hosanna Việt Nam,,,
223,Thi thiên 16,2,,Dm,6/8,,,Hosanna Việt Nam,,,
224,Nguyện Chúa được tôn cao,2,,G,4/4,,,Hosanna Việt Nam,,,
225,Sô-phô-ni 3,2,,Am,4/4,,,Hosanna Việt Nam,,,
226,Hãy cất tiếng vui mừng,1,b,Em,4/4,,,Hosanna Việt Nam,,,
227,Quyết dâng,1,a,C,4/4,,,Hosanna Việt Nam,,,
228,"Giê-xu, Vua muôn vua",2,,Em,4/4,,,Hosanna Việt Nam,,,
229,Chiên Con tôn quý,2,,G,4/4,,,Hosanna Việt Nam,,,
230,Xót thương từ Chúa,1,c,D,4/4,,,Hosanna Việt Nam,,,
231,Thiên đàng trong lòng,2,,D,4/4,,,Hosanna Việt Nam,,,
232,Bạn có thấy,4,b,C,4/4,,,Hosanna Việt Nam,,,
233,"Khắp núi non cao, biển cả mênh mông",2,,E,4/4,,,Hosanna Việt Nam,,,
234,Điều Chúa làm trong con,4,b,C,3/4,,,Hosanna Việt Nam,,,
235,Khắp Thiên đàng,1,b,C,4/4,,,Hosanna Việt Nam,,,
236,Trước Ngôi thương xót Chúa,1,b,D,4/4,,,Hosanna Việt Nam,,,
237,Chợt nhìn núi đồi cao,1,d,C,4/4,,,Hosanna Việt Nam,,,
238,Chúa thật vĩ đại,1,b,D,4/4,,,Hosanna Việt Nam,,,
239,Thánh thay Chúa,1,b,C,4/4,,,Hosanna Việt Nam,,,
240,Tôi sẽ mãi ca ngợi,1,b,Bm,4/4,,,Hosanna Việt Nam,,,
241,Hallelujah - Adonai,1,b,Am,2/4,,,Hosanna Việt Nam,,,
243,Vỗ tay lên,1,b,D,4/4,,,Hosanna Việt Nam,,,
243,Hỡi Vua của muôn đời,1,b,Dm,4/4,,,Hosanna Việt Nam,,,
244,Hosanna,2,,E,4/4,,,Hosanna Việt Nam,,,
245,"Jehovah, Đấng toàn năng",2,,G,4/4,,,Hosanna Việt Nam,,,
246,Thần Linh Cha ở đây,1,a,D,4/4,,,Hosanna Việt Nam,,,
247,Lạ thay ân hồng Chúa,2,,G,3/4,,,Hosanna Việt Nam,,,
248,Vĩ đại thay là Chúa,2,,D,4/4,,,Hosanna Việt Nam,,,
249,Tin sẽ thấy,3,a,D,3/4,,,Hosanna Việt Nam,,,
250,Bàn chân đẹp,3,a,C,4/4,,,Hosanna Việt Nam,,,
251,Nguyện cầu Cha,2,,Em,4/4,,,Hosanna Việt Nam,,,
252,Xin tẩy sạch lòng con,1,c,E,4/4,,,Hosanna Việt Nam,,,
253,Cầu xin Chúa mở mắt con,1,a,E,6/4,,,Hosanna Việt Nam,,,
254,Hãy cùng nhau lên núi Si-ôn,3,a,D,4/4,,,Hosanna Việt Nam,,,
255,Thi thiên 37:5,1,d,Dm,4/4,,,Hosanna Việt Nam,,,
256,Jesus là Cứu Chúa,2,,Em,4/4,,,Hosanna Việt Nam,,,